CÓDIGOS ÚNICOS DE MEDIDA,MEDIDAS IMPUESTAS,COORDINACIÓN,N° DOC DE DICTADO DE MEDIDA ADMINISTRATIVA (RESOLUCION/ACTA),TIPO DOC DE DICTADO DE MEDIDA ADMINISTRATIVA,FECHA DE DOCUMENTO QUE DICTA MEDIDA ADMINISTRATIVA,FECHA DE NOTIFICACIÓN DEL DOC QUE DICTA MEDIDA ADMINISTRATIVA,ORIGEN DE LA MEDIDA ADMINISTRATIVA,CÓDIGO /NÚMERO DE DOCUMENTO DE ORIGEN,N° DE EXPEDIENTE,ADMINISTRADO,UNIDAD FISCALIZABLE
0149-2022/PROY-1-CMIN,0149-2022/PROY-1-CMIN,CMIN,0203-2022-OEFA/DSEM,RESOLUCIÓN,30/9/2022,10/10/2022,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0149-2022-DSEM-CMIN,NORCOBRE S.A.C.,CONTONGA
0016-2022/PROY-1-CMIN,0016-2022/PROY-1-CMIN,CMIN,0205-2022-OEFA/DSEM,RESOLUCIÓN,30/9/2022,10/10/2022,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0016-2022-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0052-2022/PROY-1-CMIN,0052-2022/PROY-1-CMIN,CMIN,0223-2022-OEFA/DSEM,RESOLUCIÓN,28/10/2022,9/11/2022,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0052-2022-DSEM-CMIN,EMPRESA ADMINISTRADORA CERRO S.A.C.,CERRO DE PASCO
0053-2022/PROY-1-CMIN,0053-2022/PROY-1-CMIN,CMIN,0224-2022-OEFA/DSEM,RESOLUCIÓN,28/10/2022,9/11/2022,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0053-2022-DSEM-CMIN,RUC INVÁLIDO,PLANTA DE ÓXIDOS
0169-2022/PROY-1-CMIN,0169-2022/PROY-1-CMIN,CMIN,0240-2022-OEFA/DSEM,RESOLUCIÓN,17/11/2022,18/11/2022,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0169-2022-DSEM-CMIN,MINERA YANACOCHA S.R.L.,CHAUPILOMA SUR
0187-2022/PROY-1-CMIN,0187-2022/PROY-1-CMIN,CMIN,0246-2022-OEFA/DSEM,RESOLUCIÓN,30/11/2022,2/12/2022,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0187-2022-DSEM-CMIN,COMPAÑIA MINERA LINCUNA S.A.,HUANCAPETI
0149-2021/PROY-1-CMIN,0149-2021/PROY-1-CMIN,CMIN,0247-2022-OEFA/DSEM,RESOLUCIÓN,30/11/2022,7/12/2022,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,418-2021-OEFA/DSEM-CMIN,0149-2021-DSEM-CMIN,COMPAÑIA MINERA LINCUNA S.A.,PASIVOS AMBIENTALES MINEROS DE LA UNIDAD MINERA LINCUNA UNO
0183-2021/PROY-1-CMIN,0183-2021/PROY-1-CMIN,CMIN,0248-2022-OEFA/DSEM,RESOLUCIÓN,30/11/2022,2/12/2022,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0183-2021-DSEM-CMIN,ACTIVOS MINEROS S.A.C.,64 PASIVOS AMBIENTALES MINEROS EL DORADO
0171-2022/PROY-1-CMIN,0171-2022/PROY-1-CMIN,CMIN,0250-2022-OEFA/DSEM,RESOLUCIÓN,30/11/2022,7/12/2022,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0171-2022-DSEM-CMIN,VOLCAN COMPANIA MINERA S.A.A.,CARAHUACRA
0099-2022/PROY-2-CMIN,0099-2022/PROY-2-CMIN,CMIN,0253-2022-OEFA/DSEM,RESOLUCIÓN,30/11/2022,7/12/2022,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0099-2022-DSEM-CMIN,CORPORACION MINERA CENTAURO S.A.C.,QUICAY
0243-2022/PROY-1-CMIN,0243-2022/PROY-1-CMIN,CMIN,0276-2022-OEFA/DSEM,RESOLUCIÓN,28/12/2022,3/1/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0243-2022-DSEM-CMIN,COMPAÑIA MINERA CONDESTABLE S.A.,ACUMULACIÓN CONDESTABLE
0018-2022/PROY-2-CMIN,0018-2022/PROY-2-CMIN,CMIN,0281-2022-OEFA/DSEM,RESOLUCIÓN,29/12/2022,3/1/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0018-2022-DSEM-CMIN,ARUNTANI S.A.C.,ARASI
0016-2022/PROY-2-CMIN,0016-2022/PROY-2-CMIN,CMIN,0037-2023-OEFA/DSEM,RESOLUCIÓN,22/2/2023,23/2/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0016-2022-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0259-2022/PROY-1-CMIN,0259-2022/PROY-1-CMIN,CMIN,0058-2023-OEFA/DSEM,RESOLUCIÓN,31/3/2023,3/4/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0259-2022-DSEM-CMIN,MINISTERIO DE ENERGIA Y MINAS,55 PASIVOS AMBIENTALES MINEROS LA TAHONA
0133-2022/PROY-1-CMIN,0133-2022/PROY-1-CMIN,CMIN,0065-2023-OEFA/DSEM,RESOLUCIÓN,14/4/2023,17/4/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0133-2022-DSEM-CMIN,SIERRA ANTAPITE S.A.C.,ANTAPITE
0009-2022/PROY-1-CMIN,0009-2022/PROY-1-CMIN,CMIN,0082-2023-OEFA/DSEM,RESOLUCIÓN,2/5/2023,3/5/2023,DEAM,00700-2022-OEFA/DEAM,0009-2022-DSEM-CMIN,COMPANIA MINERA ARES S.A.C.,INMACULADA
0008-2022/PROY-1-CMIN,0008-2022/PROY-1-CMIN,CMIN,0092-2023-OEFA/DSEM,RESOLUCIÓN,19/5/2023,19/5/2023,DEAM,00881-2022-OEFA/DEAM,0008-2022-DSEM-CMIN,SOUTH AMERICA MINING INVESTMENTS S.A.C,BREAPAMPA
0016-2022/PROY-3-CMIN,0016-2022/PROY-3-CMIN,CMIN,0125-2023-OEFA/DSEM,RESOLUCIÓN,26/7/2023,31/7/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0016-2022-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0024-2023/PROY-1-CMIN,0024-2023/PROY-1-CMIN,CMIN,0129-2023-OEFA/DSEM,RESOLUCIÓN,31/7/2023,1/8/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0024-2023-DSEM-CMIN,RUC INVÁLIDO,PLANTA DE ÓXIDOS
0020-2023/PROY-1-CMIN,0020-2023/PROY-1-CMIN,CMIN,0130-2023-OEFA/DSEM,RESOLUCIÓN,31/7/2023,1/8/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0020-2023-DSEM-CMIN,EMPRESA ADMINISTRADORA CERRO S.A.C.,CERRO DE PASCO
0151-2022/PROY-1-CMIN,0151-2022/PROY-1-CMIN,CMIN,0132-2023-OEFA/DSEM,RESOLUCIÓN,31/7/2023,1/8/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,0219-2023-OEFA/DSEM-CMIN,0151-2022-DSEM-CMIN,CIA MINERA SANTA LUISA S A,PALLCA
0023-2022/PROY-1-CMIN,0023-2022/PROY-1-CMIN,CMIN,0144-2023-OEFA/DSEM,RESOLUCIÓN,21/8/2023,22/8/2023,DEAM,00541-2023-OEFA/DEAM,0023-2022-DSEM-CMIN,COMPAÑIA MINERA ANTAPACCAY S.A.,ANTAPACCAY - EXPANSIÓN TINTAYA
0035-2023/PROY-1-CMIN,0035-2023/PROY-1-CMIN,CMIN,0142-2023-OEFA/DSEM,RESOLUCIÓN,19/8/2023,21/8/2023,DEAM,00403-2023-OEFA/DEAM,0035-2023-DSEM-CMIN,COMPAÑIA MINERA ANTAPACCAY S.A.,ANTAPACCAY - EXPANSIÓN TINTAYA
0049-2023/PROY-1-CMIN,0049-2023/PROY-1-CMIN,CMIN,0153-2023-OEFA/DSEM,RESOLUCIÓN,31/8/2023,4/9/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0049-2023-DSEM-CMIN,SOCIEDAD MINERA EL BROCAL S.A.A.,COLQUIJIRCA
0056-2023/PROY-1-CMIN,0056-2023/PROY-1-CMIN,CMIN,0154-2023-OEFA/DSEM,RESOLUCIÓN,31/8/2023,4/9/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0056-2023-DSEM-CMIN,COMPAÑIA MINERA CHUNGAR S.A.C.,ANIMON
0067-2023/PROY-1-CMIN,0067-2023/PROY-1-CMIN,CMIN,0152-2023-OEFA/DSEM,RESOLUCIÓN,29/8/2023,31/8/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0067-2023-DSEM-CMIN,SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C. EN LIQUIDACION,AUSTRIA DUVAZ
0076-2023/PROY-1-CMIN,0076-2023/PROY-1-CMIN,CMIN,0164-2023-OEFA/DSEM,RESOLUCIÓN,26/9/2023,26/9/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0076-2023-DSEM-CMIN,MINERA IRL S.A.,CORIHUARMI
0034-2023/PROY-1-CMIN,0034-2023/PROY-1-CMIN,CMIN,0169-2023-OEFA/DSEM,RESOLUCIÓN,29/9/2023,2/10/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0034-2023-DSEM-CMIN,COMPAÑIA MINERA SANTANDER SOCIEDAD ANONIMA CERRADA,SANTANDER
0072-2023/PROY-1-CMIN,0072-2023/PROY-1-CMIN,CMIN,0177-2023-OEFA/DSEM,RESOLUCIÓN,26/10/2023,27/10/2023,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0072-2023-DSEM-CMIN,COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.,SAN VICENTE
0116-2023/PROY-1-CMIN,0116-2023/PROY-1-CMIN,CMIN,0012-2024-OEFA/DSEM,RESOLUCIÓN,11/1/2024,15/1/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0116-2023-DSEM-CMIN,SOCIEDAD MINERA EL BROCAL S.A.A.,COLQUIJIRCA
0093-2023/PROY-1-CMIN,0093-2023/PROY-1-CMIN,CMIN,0014-2024-OEFA/DSEM,RESOLUCIÓN,11/1/2024,16/1/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0093-2023-DSEM-CMIN,VOLCAN COMPANIA MINERA S.A.A.,ANDAYCHAGUA
0006-2023/PROY-1-CMIN,0006-2023/PROY-1-CMIN,CMIN,0016-2024-OEFA/DSEM,RESOLUCIÓN,11/1/2024,14/1/2024,DEAM,00567-2023-OEFA/DEAM,0006-2023-DSEM-CMIN,MINERA IRL S.A.,CORIHUARMI
0048-2023/PROY-1-CMIN,0048-2023/PROY-1-CMIN,CMIN,0049-2024-OEFA/DSEM,RESOLUCIÓN,6/2/2024,7/2/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0048-2023-DSEM-CMIN,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,EL COFRE
0181-2023/PROY-1-CMIN,0181-2023/PROY-1-CMIN,CMIN,0050-2024-OEFA/DSEM,RESOLUCIÓN,6/2/2024,7/2/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,"0181-2023-DSEM-CMIN",COMPANIA MINERA ARES S.A.C.,SIPÁN
0018-2023/PROY-1-CMIN,0018-2023/PROY-1-CMIN,CMIN,0054-2024-OEFA/DSEM,RESOLUCIÓN,13/2/2024,15/2/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0018-2023-DSEM-CMIN,ACTIVOS MINEROS S.A.C.,EX LA OROYA
0076-2023/PROY-2-CMIN,0076-2023/PROY-2-CMIN,CMIN,0061-2024-OEFA/DSEM,RESOLUCIÓN,26/2/2024,26/2/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0076-2023-DSEM-CMIN,MINERA IRL S.A.,CORIHUARMI
0048-2023/PROY-2-CMIN,0048-2023/PROY-2-CMIN,CMIN,0067-2024-OEFA/DSEM,RESOLUCIÓN,1/3/2024,1/3/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0048-2023-DSEM-CMIN,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,EL COFRE
0221-2022/PROY-1-CMIN,0221-2022/PROY-1-CMIN,CMIN,0086-2024-OEFA/DSEM,RESOLUCIÓN,14/3/2024,14/3/2024,DEAM,00307-2023-OEFA/DEAM,0221-2022-DSEM-CMIN,COMPAÑIA MINERA ANTAPACCAY S.A.,ANTAPACCAY - EXPANSIÓN TINTAYA
0098-2022/PROY-1-CMIN,0098-2022/PROY-1-CMIN,CMIN,0093-2024-OEFA/DSEM,RESOLUCIÓN,27/3/2024,1/4/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0098-2022-DSEM-CMIN,ACTIVOS MINEROS S.A.C.,TÚNEL PUCARÁ Y BOCAMINA AZALIA DE LA MINA GOYLLARISQUIZGA
0101-2023/PROY-1-CMIN,0101-2023/PROY-1-CMIN,CMIN,0116-2024-OEFA/DSEM,RESOLUCIÓN,25/4/2024,26/4/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0101-2023-DSEM-CMIN,SHOUGANG HIERRO PERU S.A.A.,MARCONA
0058-2023/PROY-1-CMIN,0058-2023/PROY-1-CMIN,CMIN,0121-2024-OEFA/DSEM,RESOLUCIÓN,30/4/2024,30/4/2024,DEAM,00229-2024-OEFA/DEAM,0058-2023-DSEM-CMIN,MINERA YANACOCHA S.R.L.,CHAUPILOMA SUR
0016-2023/PROY-1-CMIN,0016-2023/PROY-1-CMIN,CMIN,0127-2024-OEFA/DSEM,RESOLUCIÓN,9/5/2024,9/5/2024,DEAM,01095-2023-OEFA/DEAM,0016-2023-DSEM-CMIN,COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.,SAN VICENTE
0023-2022/PROY-2-CMIN,0023-2022/PROY-2-CMIN,CMIN,0152-2024-OEFA/DSEM,RESOLUCIÓN,25/6/2024,25/6/2024,DEAM,01026-2023-OEFA/DEAM,0023-2022-DSEM-CMIN,COMPAÑIA MINERA ANTAPACCAY S.A.,ANTAPACCAY - EXPANSIÓN TINTAYA
0048-2023/PROY-3-CMIN,0048-2023/PROY-3-CMIN,CMIN,0155-2024-OEFA/DSEM,RESOLUCIÓN,27/6/2024,27/6/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0048-2023-DSEM-CMIN,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,EL COFRE
0016-2023/PROY-2-CMIN,0016-2023/PROY-2-CMIN,CMIN,0165-2024-OEFA/DSEM,RESOLUCIÓN,19/7/2024,19/7/2024,DEAM,01095-2023-OEFA/DEAM,0016-2023-DSEM-CMIN,COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.,SAN VICENTE
0067-2023/PROY-2-CMIN,0067-2023/PROY-2-CMIN,CMIN,0170-2024-OEFA/DSEM,RESOLUCIÓN,31/7/2024,31/7/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0067-2023-DSEM-CMIN,SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C. EN LIQUIDACION,AUSTRIA DUVAZ
0059-2023/PROY-1-CMIN,0059-2023/PROY-1-CMIN,CMIN,0183-2024-OEFA/DSEM,RESOLUCIÓN,22/8/2024,23/8/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0059-2023-DSEM-CMIN,SOCIEDAD MINERA EL BROCAL S.A.A.,PASIVOS AMBIENTALES MINEROS DE LA UNIDAD MINERA SANTA BÁRBARA
0046-2024/PROY-1-CMIN,0046-2024/PROY-1-CMIN,CMIN,0187-2024-OEFA/DSEM,RESOLUCIÓN,27/8/2024,27/8/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0046-2024-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0016-2023/PROY-3-CMIN,0016-2023/PROY-3-CMIN,CMIN,0190-2024-OEFA/DSEM,RESOLUCIÓN,28/8/2024,28/8/2024,DEAM,01095-2023-OEFA/DEAM,0016-2023-DSEM-CMIN,COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.,SAN VICENTE
0012-2024/PROY-1-CMIN,0012-2024/PROY-1-CMIN,CMIN,0210-2024-OEFA/DSEM,RESOLUCIÓN,30/9/2024,1/10/2024,DEAM,00509-2024-OEFA/DEAM,0012-2024-DSEM-CMIN,ANAMA-VALERIA S.A.C.,ANAMA
0077-2024/PROY-1-CMIN,0077-2024/PROY-1-CMIN,CMIN,0211-2024-OEFA/DSEM,RESOLUCIÓN,30/9/2024,1/10/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0077-2024-DSEM-CMIN,MINERA VETA DORADA S.A.C.,PLANTA DE BENEFICIO HACIENDA METALEX
0005-2023/PROY-1-CMIN,0005-2023/PROY-1-CMIN,CMIN,0223-2024-OEFA/DSEM,RESOLUCIÓN,17/10/2024,18/10/2024,DEAM,00503-2024-OEFA/DEAM,0005-2023-DSEM-CMIN,EMPRESA ADMINISTRADORA CERRO S.A.C.,CERRO DE PASCO
0148-2023/PROY-1-CMIN,0148-2023/PROY-1-CMIN,CMIN,0233-2024-OEFA/DSEM,RESOLUCIÓN,25/10/2024,28/10/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0148-2023-DSEM-CMIN,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,PORACOTA
0186-2023/PROY-1-CMIN,0186-2023/PROY-1-CMIN,CMIN,0250-2024-OEFA/DSEM,RESOLUCIÓN,11/11/2024,11/11/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,00468-2024-OEFA/DSEM-CMIN,0186-2023-DSEM-CMIN,CIA MINERA SANTA LUISA S A,PALLCA
0148-2023/PROY-2-CMIN,0148-2023/PROY-2-CMIN,CMIN,0262-2024-OEFA/DSEM,RESOLUCIÓN,28/11/2024,28/11/2024,DEAM,00791-2024-OEFA/DEAM,0148-2023-DSEM-CMIN,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,PORACOTA
0195-2024/PROY-1-CMIN,0195-2024/PROY-1-CMIN,CMIN,0270-2024-OEFA/DSEM,RESOLUCIÓN,12/12/2024,13/12/2024,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0195-2024-DSEM-CMIN,CASTROVIRREYNA COMPAÑIA MINERA S.A. EN LIQUIDACION,PASIVOS AMBIENTALES MINEROS DE LA MINA ASTOHUARACA
0020-2024/PROY-1-CMIN,0020-2024/PROY-1-CMIN,CMIN,0015-2025-OEFA/DSEM,RESOLUCIÓN,10/1/2025,13/1/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0020-2024-DSEM-CMIN,ACTIVOS MINEROS S.A.C.,PASIVOS AMBIENTALES MINEROS DE LA EX UNIDAD MINERA SAN ANTONIO DE ESQUILACHE
0196-2024/PROY-1-CMIN,0196-2024/PROY-1-CMIN,CMIN,0024-2025-OEFA/DSEM,RESOLUCIÓN,20/1/2025,20/1/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0196-2024-DSEM-CMIN,MINERA LAS BAMBAS S.A.,LAS BAMBAS
0153-2024/PROY-1-CMIN,0153-2024/PROY-1-CMIN,CMIN,0036-2025-OEFA/DSEM,RESOLUCIÓN,30/1/2025,31/1/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0153-2024-DSEM-CMIN,SOUTH AMERICA MINING INVESTMENTS S.A.C,BREAPAMPA
0175-2024/PROY-1-CMIN,0175-2024/PROY-1-CMIN,CMIN,0044-2025-OEFA/DSEM,RESOLUCIÓN,12/2/2025,13/2/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0175-2024-DSEM-CMIN,ARUNTANI S.A.C.,SANTA ROSA
0143-2024/PROY-1-CMIN,0143-2024/PROY-1-CMIN,CMIN,0076-2025-OEFA/DSEM,RESOLUCIÓN,25/3/2025,31/3/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0143-2024-DSEM-CMIN,COMPANIA MINERA SAN VALENTIN S.A.,SAN VALENTÍN
0204-2024/PROY-1-CMIN,0204-2024/PROY-1-CMIN,CMIN,0077-2025-OEFA/DSEM,RESOLUCIÓN,25/3/2025,26/3/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0204-2024-DSEM-CMIN,ARUNTANI S.A.C.,ARASI
0016-2023/PROY-4-CMIN,0016-2023/PROY-4-CMIN,CMIN,0078-2025-OEFA/DSEM,RESOLUCIÓN,31/3/2025,31/3/2025,DEAM,00431-2024-OEFA/DEAM,0016-2023-DSEM-CMIN,COMPAÑIA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.,SAN VICENTE
0056-2025/PROY-1-CMIN,0056-2025/PROY-1-CMIN,CMIN,0079-2025-OEFA/DSEM,RESOLUCIÓN,3/4/2025,3/4/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0056-2025-DSEM-CMIN,ACTIVOS MINEROS S.A.C.,PASIVOS AMBIENTALES MINEROS DE LA EX UNIDAD MINERA SANTA ROSA 2
0115-2025/PROY-1-CMIN,0115-2025/PROY-1-CMIN,CMIN,0114-2025-OEFA/DSEM,RESOLUCIÓN,20/5/2025,21/5/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0115-2025-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0046-2024/PROY-2-CMIN,0046-2024/PROY-2-CMIN,CMIN,0101-2025-OEFA/DSEM,RESOLUCIÓN,6/5/2025,7/5/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0046-2024-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0009-2025/PROY-1-CMIN,0009-2025/PROY-1-CMIN,CMIN,0124-2025-OEFA/DSEM,RESOLUCIÓN,2/6/2025,2/6/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,"0009-2025-DSEM-CMIN",ARUNTANI S.A.C.,FLORENCIA - TUCARI
0115-2025/PROY-2-CMIN,0115-2025/PROY-2-CMIN,CMIN,0134-2025-OEFA/DSEM,RESOLUCIÓN,9/6/2025,9/6/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0115-2025-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0127-2023/PROY-1-CMIN,0127-2023/PROY-1-CMIN,CMIN,0153-2025-OEFA/DSEM,RESOLUCIÓN,7/7/2025,7/7/2025,DEAM,00344-2025-OEFA/DEAM,0127-2023-DSEM-CMIN,NEXA RESOURCES EL PORVENIR S.A.C.,EL PORVENIR
0071-2024/PROY-1-CMIN,0071-2024/PROY-1-CMIN,CMIN,0171-2025-OEFA/DSEM,RESOLUCIÓN,31/7/2025,31/7/2025,DEAM,00987-2024-OEFA/DEAM,0071-2024-DSEM-CMIN,METALURGIA BUSINESS PERU S.A.,COMPLEJO METALÚRGICO DE LA OROYA
0147-2022/PROY-1-CMIN,0147-2022/PROY-1-CMIN,CMIN,0187-2025-OEFA/DSEM,RESOLUCIÓN,12/8/2025,12/8/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0147-2022-DSEM-CMIN,LA ARENA S.A.,LA ARENA
0036-2025/PROY-1-CMIN,0036-2025/PROY-1-CMIN,CMIN,0200-2025-OEFA/DSEM,RESOLUCIÓN,22/8/2025,25/8/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0036-2025-DSEM-CMIN,COMPANIA MINERA ARES S.A.C.,PALLANCATA
0090-2025/PROY-1-CMIN,0090-2025/PROY-1-CMIN,CMIN,0233-2025-OEFA/DSEM,RESOLUCIÓN,3/10/2025,6/10/2025,VERIFICACIÓN DE OBLIGACIONES AMBIENTALES,S/N,0090-2025-DSEM-CMIN,CIA MINERA COIMOLACHE SA,TANTAHUATAY
