CÓDIGOS ÚNICOS DE MEDIDA,MEDIDAS IMPUESTAS,COORDINACIÓN,N° DOC DE DICTADO DE MEDIDA ADMINISTRATIVA (RESOLUCION/ACTA),TIPO DOC DE DICTADO DE MEDIDA ADMINISTRATIVA,FECHA DE DOCUMENTO QUE DICTA MEDIDA ADMINISTRATIVA,FECHA DE NOTIFICACIÓN DEL DOC QUE DICTA MEDIDA ADMINISTRATIVA,ORIGEN DE LA MEDIDA ADMINISTRATIVA,CÓDIGO /NÚMERO DE DOCUMENTO DE ORIGEN,N° DE EXPEDIENTE,ADMINISTRADO,UNIDAD FISCALIZABLE
0202-2024/ACTA 0008-CMIN,0202-2024/ACTA 0008-CMIN,CMIN,ACTA 0008-2024-OEFA/DSEM-CMIN,ACTA,15/11/2024,15/11/2024,IMPUESTA EN CAMPO,ACTA 0008-2024-OEFA/DSEM-CMIN,0202-2024-DSEM-CMIN,VOLCAN COMPANIA MINERA S.A.A.,SAN CRISTÓBAL - MAHR TÚNEL
0119-2024/ACTA 0009-CMIN,0119-2024/ACTA 0009-CMIN,CMIN,ACTA 0009-2024-OEFA/DSEM-CMIN,ACTA,23/11/2024,23/11/2024,IMPUESTA EN CAMPO,ACTA 0009-2024-OEFA/DSEM-CMIN,0119-2024-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0119-2024/ACTA 0010-CMIN,0119-2024/ACTA 0010-CMIN,CMIN,ACTA 0010-2024-OEFA/DSEM-CMIN,ACTA,12/12/2024,12/12/2024,IMPUESTA EN CAMPO,ACTA 0010-2024-OEFA/DSEM-CMIN,0119-2024-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0119-2024/ACTA 0011-CMIN,0119-2024/ACTA 0011-CMIN,CMIN,ACTA 0011-2024-OEFA/DSEM-CMIN,ACTA,23/12/2024,23/12/2024,IMPUESTA EN CAMPO,ACTA 0011-2024-OEFA/DSEM-CMIN,0119-2024-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0009-2025/ACTA 0001-CMIN,0009-2025/ACTA 0001-CMIN,CMIN,ACTA 0001-2025-OEFA/DSEM-CMIN,ACTA,16/2/2025,16/2/2025,IMPUESTA EN CAMPO,ACTA 0001-2025-OEFA/DSEM-CMIN,0009-2025-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0026-2025/ACTA 0002-CMIN,0026-2025/ACTA 0002-CMIN,CMIN,ACTA 0002-2025-OEFA/DSEM-CMIN,ACTA,18/2/2025,18/2/2025,IMPUESTA EN CAMPO,ACTA 0002-2025-OEFA/DSEM-CMIN,0026-2025-DSEM-CMIN,EMPRESA ADMINISTRADORA CERRO S.A.C.,CERRO DE PASCO
0009-2025/ACTA 0003-CMIN,0009-2025/ACTA 0003-CMIN,CMIN,ACTA 0003-2025-OEFA/DSEM-CMIN,ACTA,26/2/2025,26/2/2025,IMPUESTA EN CAMPO,ACTA 0003-2025-OEFA/DSEM-CMIN,0009-2025-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0080-2025/ACTA 0004-CMIN,0080-2025/ACTA 0004-CMIN,CMIN,ACTA 0004-2025-OEFA/DSEM-CMIN,ACTA,12/4/2025,12/4/2025,IMPUESTA EN CAMPO,ACTA 0004-2025-OEFA/DSEM-CMIN,0080-2025-DSEM-CMIN,RECUPERADA SOCIEDAD ANONIMA CERRADA - RECUPERADA S.A.C.,RECUPERADA
0119-2025/ACTA 0005-CMIN,0119-2025/ACTA 0005-CMIN,CMIN,ACTA 0005-2025-OEFA/DSEM-CMIN,ACTA,3/6/2025,3/6/2025,IMPUESTA EN CAMPO,ACTA 0005-2025-OEFA/DSEM-CMIN,0119-2025-DSEM-CMIN,ARUNTANI S.A.C.,ARASI
0186-2025/ACTA 0006-CMIN,0186-2025/ACTA 0006-CMIN,CMIN,ACTA 0006-2025-OEFA/DSEM-CMIN,ACTA,22/6/2025,22/6/2025,IMPUESTA EN CAMPO,ACTA 0006-2025-OEFA/DSEM-CMIN,0186-2025-DSEM-CMIN,MINERA YANACOCHA S.R.L.,CHAUPILOMA SUR
0152-2025/ACTA 0007-CMIN,0152-2025/ACTA 0007-CMIN,CMIN,ACTA 0007-2025-OEFA/DSEM-CMIN,ACTA,1/7/2025,1/7/2025,IMPUESTA EN CAMPO,ACTA 0007-2025-OEFA/DSEM-CMIN,0152-2025-DSEM-CMIN,MINERA YANACOCHA S.R.L.,CHAUPILOMA SUR
0167-2025/ACTA 0008-CMIN,0167-2025/ACTA 0008-CMIN,CMIN,ACTA 0008-2025-OEFA/DSEM-CMIN,ACTA,7/7/2025,7/7/2025,IMPUESTA EN CAMPO,ACTA 0008-2025-OEFA/DSEM-CMIN,0167-2025-DSEM-CMIN,MINERA IRL S.A.,CORIHUARMI
0148-2025/ACTA 0009-CMIN,0148-2025/ACTA 0009-CMIN,CMIN,ACTA 0009-2025-OEFA/DSEM-CMIN,ACTA,5/9/2025,5/9/2025,IMPUESTA EN CAMPO,ACTA 0009-2025-OEFA/DSEM-CMIN,0148-2025-DSEM-CMIN,ARUNTANI S.A.C.,FLORENCIA - TUCARI
0263-2025/ACTA 0010-CMIN,0263-2025/ACTA 0010-CMIN,CMIN,ACTA 0010-2025-OEFA/DSEM-CMIN,ACTA,29/10/2025,29/10/2025,IMPUESTA EN CAMPO,ACTA 0010-2025-OEFA/DSEM-CMIN,0263-2025-DSEM-CMIN,COMPANIA MINERA ARES S.A.C.,SIPÁN
0060-2017-OEFA/DS/MODIFICADA,,,,,,,,,,,
0017-2017-OEFA/DS/MODIFICADA,,,,,,,,,,,
0017-2017-OEFA/DS/MODIFICADA,,,,,,,,,,,
0047-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0041-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0041-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0016-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0024-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0028-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0031-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0039-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0033-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0044-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0044-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0054-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0007-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0047-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0065-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0047-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0061-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0061-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0061-2018-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0024-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0040-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0041-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0041-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0041-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0055-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0037-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0045-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0045-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0045-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0045-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0045-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0047-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0062-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0062-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0035-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0068-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0068-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0018-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0018-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0071-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0071-2019-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0019-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0019-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0019-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0005-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0006-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0049-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0049-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0073-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0073-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0034-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0060-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0059-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0047-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0051-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0084-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0084-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0084-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0084-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0084-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0084-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0084-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0084-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0084-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0084-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0084-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0091-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0091-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0091-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0026-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0026-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0027-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0113-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0029-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0102-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0034-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0010-2022-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0111-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0112-2020-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0046-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
0069-2021-OEFA/DSEM/MODIFICADA,,,,,,,,,,,
